samira,akbari,15,10,12,20,2,6,20,14,18,10
elnaz,malek,18,19,20,14,13,11,12,10,19,20
elham,hamidi,15,12,10,14,1,16,20,10,0,13
narges,abyar,14,15,16,20,17,18,19,20,12,0
ameneh,ramezani,15,12,14,13,10,9,8,20,0,15
zeynab,ranjbar,15,10,14,12,19,20,20,10,0,16
nasrin,zare,13,10,16,14,15,10,12,19,10,15
mahnaz,falah,15,10,12,10,9,8,5,10,20,20
bahar,ghasemi,20,20,20,0,0,5,16,10,18,13
niki,asil,12,10,10,10,15,16,18,19,0,20
sadaf,ebrahimi,9,20,10,16,11,0,14,0,19,20
nahid,sedaghat,20,20,0,10,14,13,15,12,10,19
akram,abdi,20,14,16,10,8,9,20,14,12,10
james,carlos,16,20,14,20,10,2,5,9,10,11,
ben,chillwel,16,10,12,19,10,15,13,10,0,0
kevin,torres,16,18,10,20,10,11,9,6,18,17
marco,rues,13,15,14,12,16,20,0,17,12,11
selena,gomez,16,20,14,15,10,13,12,11,16,10
antony,teylor,16,20,10,9,16,11,17,16,10,0
lucas,hernandez,10,20,10,0,9,14,17,18,13,11
alan,moreno,15,14,13,12,11,17,18,0,0,7
maria,ramsey,12,10,5,14,11,13,8,6,4,10
roze,brown,13,10,20,12,5,10,6,8,10,14
harry,maguire,14,10,2,9,7,12,16,20,20,20
nicolas,potter,20,13,14,14,13,10,9,15,12,0



